study_region,population,genetic_region,gnomad_labeled_subpop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
America,Maya,AMR,maya,-0.16517,0.043673,-0.32295,-0.13506,-0.0003046,-0.0012255,0.017916,-0.0065914,-0.00049386,0.0046146,-0.0014249,0.0031419,-0.0042884,-0.031334,-0.0026066,-0.0012608,-0.003264,0.0011535,-0.0080848,0.0066135
America,Maya,AMR,maya,-0.1786,0.10773,-0.38953,-0.18423,0.0012367,0.0077016,0.010662,-0.0070556,-0.00017419,-0.011262,0.0003955,-0.001008,-0.00014628,-0.028423,0.0056524,-0.0071771,0.00094217,0.0013586,-0.0092608,-0.0027004
Europe,Russian,EUR,russian,-0.13133,-0.19989,-0.02259,0.068525,-0.010199,0.0040659,-0.093439,-0.0078206,-0.0047202,-0.029586,0.021147,-0.03106,0.0025786,0.00067343,-0.0015001,-0.0056889,-0.0097262,0.019164,-0.0064337,-0.0067173
Europe,Russian,EUR,russian,-0.13105,-0.20051,-0.015641,0.070196,-0.0089655,0.0014262,-0.08989,-0.0076216,-0.0086268,-0.026186,0.022767,-0.031499,0.012487,-0.0082131,-0.00012998,-0.0034059,-0.0058733,0.016137,0.0027556,0.0011843
Europe,Russian,EUR,russian,-0.12913,-0.19915,-0.025033,0.0683,-0.0064074,0.0071127,-0.091621,-0.0060198,0.00078541,-0.026632,0.025443,-0.028261,0.0063273,-0.0013746,-0.00074897,-0.0077273,-0.0082266,0.017508,0.001916,0.00029905
Europe,Russian,EUR,russian,-0.13295,-0.19518,-0.020069,0.068317,-0.004399,0.0058732,-0.090781,-0.0061829,-0.0051505,-0.025603,0.024939,-0.025867,0.0069172,0.0023883,0.00065139,-0.0084262,-0.015021,0.022758,0.0038256,0.0028108
Europe,Russian,EUR,russian,-0.13187,-0.19722,-0.023722,0.068173,-0.0029118,0.0058448,-0.099536,-0.0086437,-0.0040751,-0.025039,0.021132,-0.027652,0.003492,-0.0054959,0.0038706,-0.006675,-0.0077834,0.014305,0.0055777,-0.0051912
Europe,Russian,EUR,russian,-0.13195,-0.20982,-0.020863,0.06859,-0.0087665,0.00082193,-0.089988,-0.013354,-0.0054155,-0.024441,0.020633,-0.023823,0.0065527,-0.0032898,-0.00061582,-0.0060039,-0.012769,0.014005,0.0025619,-1.4849e-05
Europe,Russian,EUR,russian,-0.13339,-0.20097,-0.021423,0.06934,-0.0031169,0.0032318,-0.097808,-0.0049687,-0.0034175,-0.02506,0.025109,-0.032006,0.0099436,0.0010233,0.0059838,0.0036907,-0.014836,0.026804,-0.0029143,-0.0050339
Europe,Russian,EUR,russian,-0.13205,-0.20116,-0.021828,0.065778,-0.0073711,0.0050279,-0.094583,-0.0050934,-0.0022601,-0.03341,0.023593,-0.031236,0.0045056,-0.0025887,0.0048904,-0.004501,-0.01266,0.020362,0.0010653,0.00065179
Europe,Russian,EUR,russian,-0.12903,-0.2057,-0.022224,0.071865,-0.0070419,-0.0004311,-0.087044,-0.0095493,-0.0056546,-0.026355,0.023723,-0.033013,0.0084173,-0.0049495,0.0038547,-0.0062107,-0.012782,0.016083,-0.0035669,-0.0051258
Europe,Russian,EUR,russian,-0.12903,-0.20211,-0.022256,0.071677,-0.0078727,0.0032487,-0.088438,-0.0055928,-0.0029606,-0.028109,0.021241,-0.026051,0.004714,-0.0048131,0.00098331,-0.0071827,-0.0087367,0.02715,0.00083427,0.0014902
Europe,Russian,EUR,russian,-0.12746,-0.19665,-0.022752,0.070228,-0.0040951,0.0071145,-0.090928,-0.007941,-0.0027512,-0.029708,0.019758,-0.02607,0.0052798,-0.0061936,0.0017581,-0.0054052,-0.0034617,0.011136,-0.0013633,-0.0001314
Europe,Russian,EUR,russian,-0.13253,-0.19533,-0.023908,0.071352,-0.0076452,0.004963,-0.084798,-0.0049743,-0.0034137,-0.025465,0.01676,-0.027372,0.0072462,0.000724,-0.002876,-0.0065526,-0.0078554,0.015191,0.0029097,0.0038991
